Timestamp,Time,,,,Kp,Ap,,even_index
2023 01 23,6,7.5,33260.25,33260.3125,1,4,1,TRUE
2023 01 23,12,13.5,33260.5,33260.5625,3,15,1,TRUE
2023 01 23,18,19.5,33260.75,33260.8125,1.333,5,1,TRUE
2023 01 24,0,1.5,33261,33261.0625,1,4,1,TRUE
2023 01 24,6,7.5,33261.25,33261.3125,0.667,3,1,TRUE
2023 01 24,12,13.5,33261.5,33261.5625,1.333,5,1,TRUE
2023 01 24,18,19.5,33261.75,33261.8125,0.667,3,1,TRUE
2023 01 25,0,1.5,33262,33262.0625,0,0,1,TRUE
2023 01 25,6,7.5,33262.25,33262.3125,0.333,2,1,TRUE
2023 01 25,12,13.5,33262.5,33262.5625,3,15,1,TRUE
2023 01 25,18,19.5,33262.75,33262.8125,1.667,6,1,TRUE
2023 01 26,0,1.5,33263,33263.0625,1,4,1,TRUE
2023 01 26,6,7.5,33263.25,33263.3125,2.667,12,1,TRUE
2023 01 26,12,13.5,33263.5,33263.5625,2.667,12,1,TRUE
2023 01 26,18,19.5,33263.75,33263.8125,2.667,12,1,TRUE
2023 01 27,0,1.5,33264,33264.0625,0.667,3,1,TRUE
2023 01 27,6,7.5,33264.25,33264.3125,1.667,6,1,TRUE
2023 01 27,12,13.5,33264.5,33264.5625,2.667,12,1,TRUE
2023 01 27,18,19.5,33264.75,33264.8125,1.667,6,1,TRUE
2023 01 28,0,1.5,33265,33265.0625,3,15,1,TRUE
2023 01 28,6,7.5,33265.25,33265.3125,2,7,1,TRUE
2023 01 28,12,13.5,33265.5,33265.5625,2.667,12,1,TRUE
2023 01 28,18,19.5,33265.75,33265.8125,2.667,12,1,TRUE
2023 01 29,0,1.5,33266,33266.0625,0,0,1,TRUE
2023 01 29,6,7.5,33266.25,33266.3125,2,7,1,TRUE
2023 01 29,12,13.5,33266.5,33266.5625,1,4,1,TRUE
2023 01 29,18,19.5,33266.75,33266.8125,0.667,3,1,TRUE
2023 01 30,0,1.5,33267,33267.0625,1,4,1,TRUE
2023 01 30,6,7.5,33267.25,33267.3125,0.667,3,1,TRUE
2023 01 30,12,13.5,33267.5,33267.5625,0.667,3,1,TRUE
2023 01 30,18,19.5,33267.75,33267.8125,1,4,1,TRUE
2023 01 31,0,1.5,33268,33268.0625,0,0,1,TRUE
2023 01 31,6,7.5,33268.25,33268.3125,2.667,12,1,TRUE
2023 01 31,12,13.5,33268.5,33268.5625,1,4,1,TRUE
2023 01 31,18,19.5,33268.75,33268.8125,2.333,9,1,TRUE
2023 02 01,0,1.5,33269,33269.0625,1,4,1,TRUE
2023 02 01,6,7.5,33269.25,33269.3125,0.333,2,1,TRUE
2023 02 01,12,13.5,33269.5,33269.5625,1,4,1,TRUE
2023 02 01,18,19.5,33269.75,33269.8125,2.667,12,1,TRUE
2023 02 02,0,1.5,33270,33270.0625,3.333,18,1,TRUE
2023 02 02,6,7.5,33270.25,33270.3125,0.333,2,1,TRUE
2023 02 02,12,13.5,33270.5,33270.5625,0.333,2,1,TRUE
2023 02 02,18,19.5,33270.75,33270.8125,0.333,2,1,TRUE
2023 02 03,0,1.5,33271,33271.0625,2,7,1,TRUE
2023 02 03,6,7.5,33271.25,33271.3125,0.333,2,1,TRUE
2023 02 03,12,13.5,33271.5,33271.5625,1.667,6,1,TRUE
2023 02 03,18,19.5,33271.75,33271.8125,2.667,12,1,TRUE
2023 02 04,0,1.5,33272,33272.0625,2.667,12,1,TRUE
2023 02 04,6,7.5,33272.25,33272.3125,0.667,3,1,TRUE
2023 02 04,12,13.5,33272.5,33272.5625,1,4,1,TRUE
